year,sex_files,age_sex_volume_gb,total_population_gb,combined_volume_gb
2000,36,126.84619669429958,4.054431435652077,130.90062812995166
2001,36,139.59599218517542,4.066313831135631,143.66230601631105
2002,36,128.6002626605332,4.0662304144352674,132.66649307496846
2003,36,129.65603356715292,4.069412131793797,133.72544569894671
