year,sex,age_class,filename,url
2002,m,75,bra_m_75_2002.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2002/BRA/bra_m_75_2002.tif
2002,m,80,bra_m_80_2002.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2002/BRA/bra_m_80_2002.tif
2003,f,0,bra_f_0_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_0_2003.tif
2003,f,1,bra_f_1_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_1_2003.tif
2003,f,5,bra_f_5_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_5_2003.tif
2003,f,10,bra_f_10_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_10_2003.tif
2003,f,15,bra_f_15_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_15_2003.tif
2003,f,20,bra_f_20_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_20_2003.tif
2003,f,25,bra_f_25_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_25_2003.tif
2003,f,30,bra_f_30_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_30_2003.tif
2003,f,35,bra_f_35_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_35_2003.tif
2003,f,40,bra_f_40_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_40_2003.tif
2003,f,45,bra_f_45_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_45_2003.tif
2003,f,50,bra_f_50_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_50_2003.tif
2003,f,55,bra_f_55_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_55_2003.tif
2003,f,60,bra_f_60_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_60_2003.tif
2003,f,65,bra_f_65_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_65_2003.tif
2003,f,70,bra_f_70_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_70_2003.tif
2003,f,75,bra_f_75_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_75_2003.tif
2003,f,80,bra_f_80_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_f_80_2003.tif
2003,m,0,bra_m_0_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_0_2003.tif
2003,m,1,bra_m_1_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_1_2003.tif
2003,m,5,bra_m_5_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_5_2003.tif
2003,m,10,bra_m_10_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_10_2003.tif
2003,m,15,bra_m_15_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_15_2003.tif
2003,m,20,bra_m_20_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_20_2003.tif
2003,m,25,bra_m_25_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_25_2003.tif
2003,m,30,bra_m_30_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_30_2003.tif
2003,m,35,bra_m_35_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_35_2003.tif
2003,m,40,bra_m_40_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_40_2003.tif
2003,m,45,bra_m_45_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_45_2003.tif
2003,m,50,bra_m_50_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_50_2003.tif
2003,m,55,bra_m_55_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_55_2003.tif
2003,m,60,bra_m_60_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_60_2003.tif
2003,m,65,bra_m_65_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_65_2003.tif
2003,m,70,bra_m_70_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_70_2003.tif
