year,row,col,longitude,latitude
2003,289,280,-45.95,-23.650000000000006
2008,107,43,-69.65,-5.450000000000003
2008,108,43,-69.65,-5.550000000000004
2008,108,44,-69.55,-5.550000000000004
2008,108,45,-69.45,-5.550000000000004
2010,152,113,-62.65,-9.950000000000003
2010,153,112,-62.75,-10.050000000000004
2010,153,113,-62.65,-10.050000000000004
2010,154,111,-62.85,-10.150000000000004
2010,154,112,-62.75,-10.150000000000004
2010,155,112,-62.75,-10.250000000000004
2010,155,113,-62.65,-10.250000000000004
2010,156,111,-62.85,-10.350000000000003
2010,156,112,-62.75,-10.350000000000003
2010,156,113,-62.65,-10.350000000000003
2010,156,114,-62.55,-10.350000000000003
2010,157,110,-62.95,-10.450000000000003
2010,157,111,-62.85,-10.450000000000003
2010,157,112,-62.75,-10.450000000000003
2010,157,113,-62.65,-10.450000000000003
2010,157,114,-62.55,-10.450000000000003
2010,158,109,-63.05,-10.550000000000004
2010,158,110,-62.95,-10.550000000000004
2010,158,111,-62.85,-10.550000000000004
2010,158,112,-62.75,-10.550000000000004
2010,158,113,-62.65,-10.550000000000004
2010,158,114,-62.55,-10.550000000000004
2010,289,280,-45.95,-23.650000000000006
2012,119,337,-40.25,-6.650000000000004
2014,277,287,-45.25,-22.450000000000003
2014,278,281,-45.849999999999994,-22.550000000000004
2014,278,286,-45.349999999999994,-22.550000000000004
2014,279,272,-46.75,-22.650000000000006
2014,279,302,-43.75,-22.650000000000006
2014,280,272,-46.75,-22.750000000000004
2014,280,301,-43.849999999999994,-22.750000000000004
2014,287,242,-49.75,-23.450000000000003
2014,287,261,-47.849999999999994,-23.450000000000003
2014,288,261,-47.849999999999994,-23.550000000000004
2014,288,262,-47.75,-23.550000000000004
2015,113,221,-51.849999999999994,-6.050000000000004
2015,122,214,-52.55,-6.950000000000003
2015,122,215,-52.45,-6.950000000000003
2015,123,215,-52.45,-7.050000000000004
2015,123,216,-52.349999999999994,-7.050000000000004
2015,124,214,-52.55,-7.150000000000004
2015,124,215,-52.45,-7.150000000000004
2015,124,216,-52.349999999999994,-7.150000000000004
2015,124,217,-52.25,-7.150000000000004
2015,125,216,-52.349999999999994,-7.2500000000000036
2015,125,217,-52.25,-7.2500000000000036
2015,279,272,-46.75,-22.650000000000006
2015,280,272,-46.75,-22.750000000000004
2019,223,174,-56.55,-17.050000000000004
2019,223,175,-56.45,-17.050000000000004
2019,224,174,-56.55,-17.150000000000006
2019,224,175,-56.45,-17.150000000000006
2019,225,174,-56.55,-17.250000000000004
2019,226,174,-56.55,-17.350000000000005
2019,286,241,-49.849999999999994,-23.350000000000005
2019,286,242,-49.75,-23.350000000000005
2019,287,240,-49.95,-23.450000000000003
2019,287,242,-49.75,-23.450000000000003
2019,288,240,-49.95,-23.550000000000004
2020,207,184,-55.55,-15.450000000000003
2020,208,183,-55.65,-15.550000000000004
2020,208,184,-55.55,-15.550000000000004
2020,209,183,-55.65,-15.650000000000006
2020,218,170,-56.95,-16.550000000000004
2020,218,171,-56.849999999999994,-16.550000000000004
2020,219,168,-57.15,-16.650000000000006
2020,219,169,-57.05,-16.650000000000006
2020,219,170,-56.95,-16.650000000000006
2020,219,171,-56.849999999999994,-16.650000000000006
2020,219,172,-56.75,-16.650000000000006
2020,219,173,-56.65,-16.650000000000006
2020,219,174,-56.55,-16.650000000000006
2020,219,175,-56.45,-16.650000000000006
2020,220,168,-57.15,-16.750000000000004
2020,220,169,-57.05,-16.750000000000004
2020,220,170,-56.95,-16.750000000000004
2020,220,171,-56.849999999999994,-16.750000000000004
2020,220,172,-56.75,-16.750000000000004
2020,220,173,-56.65,-16.750000000000004
2020,220,174,-56.55,-16.750000000000004
2020,220,175,-56.45,-16.750000000000004
2020,221,168,-57.15,-16.850000000000005
2020,221,169,-57.05,-16.850000000000005
2020,221,170,-56.95,-16.850000000000005
2020,221,171,-56.849999999999994,-16.850000000000005
2020,221,172,-56.75,-16.850000000000005
2020,221,173,-56.65,-16.850000000000005
2020,221,174,-56.55,-16.850000000000005
2020,221,175,-56.45,-16.850000000000005
2020,221,176,-56.349999999999994,-16.850000000000005
2020,222,168,-57.15,-16.950000000000003
2020,222,169,-57.05,-16.950000000000003
2020,222,170,-56.95,-16.950000000000003
2020,222,171,-56.849999999999994,-16.950000000000003
2020,222,172,-56.75,-16.950000000000003
2020,222,173,-56.65,-16.950000000000003
2020,222,174,-56.55,-16.950000000000003
2020,222,175,-56.45,-16.950000000000003
2020,223,168,-57.15,-17.050000000000004
2020,223,169,-57.05,-17.050000000000004
2020,223,170,-56.95,-17.050000000000004
2020,223,171,-56.849999999999994,-17.050000000000004
2020,223,172,-56.75,-17.050000000000004
2020,223,173,-56.65,-17.050000000000004
2020,223,174,-56.55,-17.050000000000004
2020,223,175,-56.45,-17.050000000000004
2020,224,169,-57.05,-17.150000000000006
2020,224,170,-56.95,-17.150000000000006
2020,224,171,-56.849999999999994,-17.150000000000006
2020,224,172,-56.75,-17.150000000000006
2020,224,173,-56.65,-17.150000000000006
2020,224,174,-56.55,-17.150000000000006
2020,224,175,-56.45,-17.150000000000006
2020,225,171,-56.849999999999994,-17.250000000000004
2020,225,172,-56.75,-17.250000000000004
2020,225,173,-56.65,-17.250000000000004
2020,225,174,-56.55,-17.250000000000004
2020,225,175,-56.45,-17.250000000000004
2020,226,173,-56.65,-17.350000000000005
2020,226,174,-56.55,-17.350000000000005
2020,226,175,-56.45,-17.350000000000005
2020,286,241,-49.849999999999994,-23.350000000000005
2020,287,240,-49.95,-23.450000000000003
2020,288,240,-49.95,-23.550000000000004
2021,20,227,-51.25,3.249999999999997
2021,20,228,-51.15,3.249999999999997
2021,21,226,-51.349999999999994,3.1499999999999972
2021,21,227,-51.25,3.1499999999999972
2021,21,228,-51.15,3.1499999999999972
2021,22,225,-51.45,3.049999999999997
2021,22,226,-51.349999999999994,3.049999999999997
2021,22,227,-51.25,3.049999999999997
2021,22,228,-51.15,3.049999999999997
2021,23,219,-52.05,2.949999999999997
2021,23,220,-51.95,2.949999999999997
2021,23,221,-51.849999999999994,2.949999999999997
2021,23,222,-51.75,2.949999999999997
2021,23,224,-51.55,2.949999999999997
2021,23,226,-51.349999999999994,2.949999999999997
2021,23,227,-51.25,2.949999999999997
2021,23,228,-51.15,2.949999999999997
2021,24,220,-51.95,2.849999999999997
2021,24,222,-51.75,2.849999999999997
2021,24,224,-51.55,2.849999999999997
2021,24,225,-51.45,2.849999999999997
2021,24,226,-51.349999999999994,2.849999999999997
2021,24,227,-51.25,2.849999999999997
2021,24,228,-51.15,2.849999999999997
2021,25,224,-51.55,2.749999999999997
2021,25,225,-51.45,2.749999999999997
2021,25,226,-51.349999999999994,2.749999999999997
2021,25,227,-51.25,2.749999999999997
2021,26,226,-51.349999999999994,2.649999999999997
2021,33,224,-51.55,1.949999999999997
2021,33,225,-51.45,1.949999999999997
2021,33,226,-51.349999999999994,1.949999999999997
2021,33,227,-51.25,1.949999999999997
2021,244,251,-48.849999999999994,-19.150000000000006
2021,244,252,-48.75,-19.150000000000006
2021,279,266,-47.349999999999994,-22.650000000000006
2021,286,241,-49.849999999999994,-23.350000000000005
2021,286,242,-49.75,-23.350000000000005
2021,287,241,-49.849999999999994,-23.450000000000003
2021,287,242,-49.75,-23.450000000000003
2021,288,240,-49.95,-23.550000000000004
2021,288,241,-49.849999999999994,-23.550000000000004
2021,288,242,-49.75,-23.550000000000004
2021,288,253,-48.65,-23.550000000000004
2021,289,242,-49.75,-23.650000000000006
2021,289,253,-48.65,-23.650000000000006
2022,43,228,-51.15,0.9499999999999966
2022,124,165,-57.45,-7.150000000000004
2023,34,119,-62.05,1.849999999999997
2023,34,120,-61.95,1.849999999999997
2023,34,121,-61.85,1.849999999999997
2023,35,119,-62.05,1.749999999999997
2023,35,120,-61.95,1.749999999999997
2023,35,121,-61.85,1.749999999999997
2023,36,119,-62.05,1.6499999999999968
2023,36,120,-61.95,1.6499999999999968
2023,36,121,-61.85,1.6499999999999968
2023,36,122,-61.75,1.6499999999999968
2023,37,120,-61.95,1.5499999999999972
2023,124,165,-57.45,-7.150000000000004
2023,159,181,-55.849999999999994,-10.650000000000004
2023,159,182,-55.75,-10.650000000000004
2023,159,183,-55.65,-10.650000000000004
2023,160,181,-55.849999999999994,-10.750000000000004
2023,160,182,-55.75,-10.750000000000004
2023,160,183,-55.65,-10.750000000000004
2023,161,183,-55.65,-10.850000000000005
