year,sex,population_total,population_class_1,pct_class_1_extreme,population_class_2,pct_class_2_severe,population_class_3,pct_class_3_moderate,population_class_4,pct_class_4_weak,population_class_5,pct_class_5_normal,population_exposed,exposed_pct_total,population_drought_valid,population_drought_missing,drought_coverage_pct,exposed_pct_drought_valid,class_balance,exposure_balance
2000,total,1.6981226826695755E8,21186.06695621533,0.01247616981530996,631943.1566158151,0.37214222686334614,5238996.15693055,3.0851694111372785,3.8861989301758595E7,22.885266004847573,1.2090401965909095E8,71.1986365254958,4.475411468226119E7,26.355053812663513,1.656581343413522E8,4154133.9256053567,97.55369033815936,27.015947547762227,5.960464477539063E-8,1.4901161193847656E-8
2001,total,1.7170057300258613E8,819016.0281579479,0.4770025014101799,2076248.787620829,1.209226475667939,1.4540231780476552E7,8.468365321213895,8.87778488077099E7,51.705039334011275,6.127385569362692E7,35.68645964431582,1.062133454039655E8,61.85963363230344,1.674872010975928E8,4213371.9049933255,97.54609327661949,63.415798167214135,6.556510925292969E-7,2.682209014892578E-7
2002,total,1.7363107005721372E8,1514362.7815784495,0.8721726941378908,6275919.594689888,3.614514149237167,2.3773836173431322E7,13.692155537368702,6.758780909098817E7,38.9261029542219,7.020847961884281E7,40.43543566005104,9.915192764068756E7,57.10494533496551,1.693604072595311E8,4270662.797682613,97.54038099501697,58.54492749816388,4.470348358154297E-7,-2.8312206268310547E-7
2003,total,1.7560493239490303E8,1111249.2353380262,0.632812085732895,1.2199153601033192E7,6.94693106546663,2.271822956990035E7,12.937124977111264,6.893347476315789E7,39.25486250473833,6.631104994975679E7,37.76149624353119,1.0496210716942923E8,59.77173063304899,1.7127315711918533E8,4331775.2757177055,97.53322687657977,61.28345441567843,-9.238719940185547E-7,-2.2351741790771484E-7
